Id,content
0,“克强节奏”又启动了!这一次是在蒙古国首都乌兰巴托。7月13日—16日，李克强总理对蒙古国进行正式访问，并出席在蒙古国首都乌兰巴托举行的第十一届亚欧首脑会议。首访蒙古国这个中国的重要近邻，李克强总理先后会见蒙总统、总理、国家大呼拉尔主席，并与蒙总理共同见证双方签署涵盖贸易、经济技术、基础设施建设、广播电视等领域的15份双边协议。
1,在成立20周年的第十一届亚欧首脑会议上，李克强总理在引导性发言中提出三大倡议，为亚欧合作在新的10年实现新跨越贡献“中国方案”。
2,自证监会6月17日发布《关于修改〈上市公司重大资产重组管理办法〉的决定（征求意见）》（简称“重组新规”）以来，面对日趋严格的监管，不少上市公司以此为标准，调整其重组计划或干脆终止重组。但也有公司在此后所披露的重组预案中，仍有触及新规中“重组上市”（旧称“借壳”）认定标准的情况发生，存在规避借壳之嫌，并因此引致监管关注。其中，曾在停牌期更换重组标的并在三个月期限届满前披露重组预案的欣龙控股，即因重组标的之净资产、营收等两项指标触及100%红线而在7月15日收到深交所问询函。问询函从七方面提出28个问题，首先问的便是公司此次重组是否构成重组上市。
3,近日台湾媒体爆料，网友发现赵薇好友、同是演员的陈坤将微博上与赵薇相关的文章与照片全数删除，再次引发热议，惹人猜测陈坤是否想和赵薇做切割，有人认为此举“不是朋友”，也有人表态支持，直说要陈坤“远离赵薇”。7月18日，陈坤微博并配文：“重复着重复，又几何。”同时附上几张自己模仿卓别林的照片，疑似回应删光赵薇相关微博的谣言。也有网友证实，陈坤于2013年发布的祝贺赵薇生日快乐的微博，以及去年5月发布的与赵薇亲密合影仍存在，“删光微博”实为谣言。对此，网友纷纷留言心疼陈坤：
4,　而在这些日程之外，总理还挤出全部空隙时间，安排了十多场双边会见，并创造性地拓展“过道外交”、“看台外交”和“宴会外交”，与多国领导人广泛沟通、深入交流，中国在南海问题上的立场赢得了亚欧各国的广泛支持。大会最终通过的《乌兰巴托宣言》和《主席声明》，南海问题均未提及。
5,谢春涛对新京报记者说，新条例没有必要对被问责官员的复出问题作出具体规定。根据被问责官员的失职失责的具体情形，如果受到的问责方式是“通报”、“诫勉”，那么不涉及到职务调整；如果受到的是组织调整或者组织处理、纪律处分，那么职务调整可以依据《中国共产党纪律处分条例》和《推进领导干部能上能下若干规定（试行）》进行，新问责条例与新纪律处分条例、《推进领导干部能上能下若干规定（试行）》等十八大后新制定、修订的法规制度是一个整体，彼此衔接。 
6,新浪体育讯　　北京时间7月18日消息，今日北京体育大学在官网山公布了2016年优秀运动员、教练员免试攻读硕士研究生的拟录取名单，其中奥运会冠军吴静钰、世锦赛冠军刘虹、羽毛球世界冠军王适娴、排球名将周苏红等榜上有名。
7,按照足协现有规定，各俱乐部外援注册人数为4+1。中国足协联赛部主任马成全在接受采访时表示：“现在5个外援，只能上4个，这对俱乐部来说是种浪费，现在引援的费用都很贵，动辄几百万、上千万欧元。为了本土球员成长，跟亚足联接轨，我们在会上进一步征求俱乐部各方面意见。”
8,拉塞尔无疑是湖人队在今年夏季联赛中最闪耀的明星，并且展现出了他的统治力。四场比赛，拉塞尔场均得到21.8分、6.2个篮板和4次助攻，投篮命中率为48%。在湖人战胜76人的比赛中，拉塞尔投进了一个压哨三分。 
9,在同一本书里，他还提到一件事，赵薇拍完《还珠》，他到剧组帮赵薇搬行李，赵薇随手送了他一本《西藏生死书》，2006年陈坤受访时谈到这本书曾说：“《西藏生死书》，那是我最爱的一本书，从1998年发现至今，它已经整整陪着我8年的时间了，我看了10遍，每一次都是从第一页开始读起，很认真地一个字一个字地看。这是可以陪我一辈子的书。”
